dep_ocu	year	sex	age	death	violent	disease	accident	violent_	homicide	populati
5	1990	1	7	1440	10	1335	94	11	10	555689
5	1990	2	7	1110	8	1041	61	8	8	555689
5	1990	1	8	155	11	61	82	12	10	520770
5	1990	2	8	105	4	65	36	4	4	520770
5	1990	1	9	221	81	62	77	82	78	492630
5	1990	2	9	106	19	58	29	19	16	492630
5	1990	1	10	1696	1479	85	131	1480	1463	469523
5	1990	2	10	256	138	84	34	138	120	469523
5	1990	1	11	2697	2345	143	208	2346	2296	497836
5	1990	2	11	342	184	113	45	184	168	497836
5	1990	1	12	2329	1976	148	204	1977	1943	450534
5	1990	2	12	269	123	119	25	125	117	450534
5	1990	1	13	1655	1317	163	173	1319	1289	374363
5	1990	2	13	248	96	132	20	96	93	374363
5	1990	1	14	1225	882	214	129	882	876	296801
5	1990	2	14	256	75	161	20	75	67	296801
5	1990	1	15	885	534	234	116	535	521	227110
5	1990	2	15	252	46	195	11	46	44	227110
5	1990	1	16	716	342	290	84	342	332	165581
5	1990	2	16	303	27	258	18	27	27	165581
5	1990	1	17	738	215	438	85	215	212	133676
5	1990	2	17	466	17	434	15	17	13	133676
5	1990	1	18	780	130	580	70	130	126	115170
5	1990	2	18	584	15	562	7	15	13	115170
5	1990	1	19	961	95	815	51	95	91	93289
5	1990	2	19	814	10	784	19	11	10	93289
5	1990	1	20	1018	40	927	51	40	37	77673
5	1990	2	20	868	6	834	28	6	6	77673
5	1990	1	21	1060	26	990	41	29	25	52889
5	1990	2	21	1017	1	1002	14	1	0	52889
5	1990	1	22	1039	18	987	34	18	16	36914
5	1990	2	22	972	2	951	19	2	2	36914
5	1990	1	23	1688	6	1631	51	6	5	34619
5	1990	2	23	2301	4	2270	27	4	3	34619
5	1990	1	25	423	245	138	40	245	242	NA
5	1990	2	25	183	19	156	8	19	19	NA
5	1991	1	7	1306	8	1204	94	8	8	561012
5	1991	2	7	1114	12	1047	55	12	12	561012
5	1991	1	8	171	17	82	72	17	17	525904
5	1991	2	8	137	2	95	40	2	2	525904
5	1991	1	9	265	127	62	76	127	120	497163
